Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
SymBio Pharmaceuticals Ltd,4582.T,Japan,95.26855293,0.749394431,Health Care,Pharmaceuticals,,,,,,,-2.69058296,-13.88888889
Fuji Foods Inc,2913.OS^K10,Japan,NULL,0,Consumer Staples,Food Products,,,,,,,,
Fukuvi Chemical Industry Co Ltd,7871.T,Japan,102.0230768,0.026039319,Industrials,Building Products,-29.43037975,-21.51898734,-36.4556962,-19.03225806,-23.01495973,21.15175661,13.87163561,2.80373832
Otaki Gas Co Ltd,9541.T^L13,Japan,97.01335889,0.025066114,Utilities,Gas Utilities,-23.37360149,-15.59808613,-27.29350685,-13.85681934,-26.03144211,1.735834974,,
Japan Systems Co Ltd,9758.T,Japan,109.5517727,0.839476608,Information Technology,Software,62.68656717,25.37313433,76.11940299,40.47619048,-36.56716417,-63.98305084,21.3484459,20.72773774
AGS Corp,3648.T,Japan,143.3000523,0.202122884,Information Technology,IT Services,,,,,,,58.36267606,52.97619048
U-Next Corp,9418.T,Japan,139.1496458,0.578663062,Telecommunication Services,Diversified Telecommunication Services,,,,,,,55.00821018,76.11940298
Daiyu LIC Holdings Co Ltd,3546.T,Japan,102.041175,0.105245927,Consumer Discretionary,Specialty Retail,,,,,,,17.00089721,13.51872765
Cube System Inc,23351.Q^K05,Japan,96.72345593,0,Information Technology,IT Services,,,,,,,,
Cube System Inc,2335.T,Japan,96.72345593,0.103519505,Information Technology,IT Services,,,,,,,10.48242763,9.308866186
Sagami Rubber Industries Co Ltd,5194.T,Japan,110.2276757,0.622779209,Consumer Staples,Personal Products,1.562500002,-1.562500001,1.71875,3.333333335,-13.42506919,-14.88793285,17.69633508,21.12068965
